horizon,mse
0 days 00:01:00,2.041929521928429
0 days 00:02:00,1.1683623451824416
0 days 00:03:00,3.317337574899182
0 days 00:04:00,2.6836602090594486
0 days 00:05:00,2.16762476149966
0 days 00:06:00,1.7897287926005403
0 days 00:07:00,4.3984965988074105
0 days 00:08:00,6.80317548607186
0 days 00:09:00,2.904961283945236
0 days 00:10:00,54.63533407983144
