num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward
10,100,0.1,1340,229,87.73946360153256
50,100,0.5,6681,241,97.57085020242914
100,100,1.0,14098,252,99.60474308300395
200,100,2.0,27402,259,100.0
300,100,3.0,42121,256,100.0
400,100,4.0,55684,252,100.0
500,100,5.0,70579,253,100.0
10,200,0.05,1226,412,83.40080971659918
50,200,0.25,6513,482,99.38144329896907
100,200,0.5,13578,525,100.0
200,200,1.0,27884,488,100.0
300,200,1.5,42417,491,100.0
400,200,2.0,56784,539,100.0
500,200,2.5,70401,507,100.0
10,300,0.03333333333333333,1344,533,70.13157894736842
50,300,0.16666666666666666,6715,752,96.90721649484536
100,300,0.3333333333333333,13471,782,98.36477987421384
200,300,0.6666666666666666,27914,720,99.5850622406639
300,300,1.0,42008,727,100.0
400,300,1.3333333333333333,55892,755,100.0
500,300,1.6666666666666667,70125,721,100.0
10,400,0.025,1439,639,61.26558005752637
50,400,0.125,6332,998,98.32512315270935
100,400,0.25,13508,956,98.55670103092784
200,400,0.5,28338,974,98.88324873096447
300,400,0.75,41974,991,99.79859013091642
400,400,1.0,55699,981,100.0
500,400,1.25,70570,1010,100.0
10,500,0.02,1535,763,62.69515201314708
50,500,0.1,6489,1261,99.13522012578616
100,500,0.2,12526,1248,99.44223107569721
200,500,0.4,26384,1261,99.84164687252573
300,500,0.6,41934,1219,100.0
400,500,0.8,54935,1225,99.83700081499592
500,500,1.0,70714,1258,99.84126984126985
10,750,0.013333333333333334,1757,1025,54.14685684099313
50,750,0.06666666666666667,5981,1890,97.82608695652173
100,750,0.13333333333333333,13037,1842,99.40636805180787
200,750,0.26666666666666666,26375,1900,99.84235417761428
300,750,0.4,41388,1870,100.0
400,750,0.5333333333333333,54689,1790,100.0
500,750,0.6666666666666666,69145,1894,99.78925184404636
