num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward
10,100,0.1,1243,203,82.18623481781377
50,100,0.5,7115,246,100.0
100,100,1.0,14418,260,100.0
200,100,2.0,28536,248,100.0
300,100,3.0,42134,241,100.0
400,100,4.0,56634,249,100.0
500,100,5.0,71405,277,100.0
750,100,7.5,106985,242,100.0
10,200,0.05,1205,404,78.75243664717348
50,200,0.25,6501,471,100.0
100,200,0.5,13902,476,100.0
200,200,1.0,28183,471,99.57716701902748
300,200,1.5,42764,497,100.0
400,200,2.0,57402,512,100.0
500,200,2.5,70630,487,100.0
750,200,3.75,106709,497,100.0
10,300,0.03333333333333333,1452,494,66.30872483221476
50,300,0.16666666666666666,6377,701,96.55647382920111
100,300,0.3333333333333333,13545,733,99.32249322493224
200,300,0.6666666666666666,28291,741,100.0
300,300,1.0,42561,737,100.0
400,300,1.3333333333333333,56363,743,100.0
500,300,1.6666666666666667,70946,757,100.0
750,300,2.5,106525,754,100.0
10,400,0.025,1283,637,64.53900709219859
50,400,0.125,6230,928,95.08196721311475
100,400,0.25,13707,964,99.1769547325103
200,400,0.5,28078,995,100.0
300,400,0.75,42926,982,100.0
400,400,1.0,55880,999,99.6011964107677
500,400,1.25,70378,976,100.0
750,400,1.875,106318,962,100.0
10,500,0.02,1480,846,68.66883116883116
50,500,0.1,6056,1160,94.6938775510204
100,500,0.2,13130,1250,100.0
200,500,0.4,27726,1226,99.51298701298701
300,500,0.6,41940,1199,99.66749792186201
400,500,0.8,56430,1205,100.0
500,500,1.0,70051,1235,100.0
750,500,1.5,106082,1241,100.0
10,750,0.013333333333333334,2564,886,48.15217391304348
50,750,0.06666666666666667,5778,1681,91.35869565217392
100,750,0.13333333333333333,13462,1758,95.54347826086956
200,750,0.26666666666666666,26857,1826,99.23913043478261
300,750,0.4,41174,1836,99.78260869565217
400,750,0.5333333333333333,55639,1839,99.94565217391305
500,750,0.6666666666666666,69692,1840,100.0
750,750,1.0,105585,1840,100.0
