num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward, iter
750,750,1.0,320674,1931,100.0,2
10,1500,0.006666666666666667,7767,3806,100.0,2
50,1500,0.03333333333333333,24663,3811,100.0,2
100,1500,0.06666666666666667,45779,3736,100.0,2
200,1500,0.13333333333333333,88033,3760,100.0,2
300,1500,0.2,132178,3779,100.0,2
400,1500,0.26666666666666666,174800,3794,100.0,2
500,1500,0.3333333333333333,211213,3780,100.0,2
750,1500,0.5,321424,3739,100.0,2
10,2250,0.0044444444444444444,6526,5646,100.0,2
50,2250,0.022222222222222223,22804,5687,100.0,2
100,2250,0.044444444444444446,47901,5651,100.0,2
200,2250,0.08888888888888889,87384,5674,100.0,2
300,2250,0.13333333333333333,130809,5643,100.0,2
400,2250,0.17777777777777778,170794,5642,100.0,2
500,2250,0.2222222222222222,215297,5680,100.0,2
750,2250,0.3333333333333333,322174,5601,100.0,2
10,3000,0.0033333333333333335,9193,7570,100.0,2
50,3000,0.016666666666666666,26841,7557,100.0,2
100,3000,0.03333333333333333,45729,7541,100.0,2
200,3000,0.06666666666666667,88424,7552,100.0,2
300,3000,0.1,126758,7561,100.0,2
400,3000,0.13333333333333333,172643,7545,100.0,2
500,3000,0.16666666666666666,217839,7593,100.0,2
750,3000,0.25,322924,7560,100.0,2
10,400,0.025,4841,994,100.0,3
50,400,0.125,24035,1007,100.0,3
100,400,0.25,41678,1013,100.0,3
200,400,0.5,87560,1025,100.0,3
300,400,0.75,130304,966,100.0,3
400,400,1.0,167571,1009,100.0,3
500,400,1.25,218159,1023,100.0,3
750,400,1.875,320324,974,100.0,3
10,500,0.02,4847,1267,100.0,3
50,500,0.1,22781,1263,100.0,3
100,500,0.2,42882,1202,100.0,3
200,500,0.4,85647,1296,100.0,3
300,500,0.6,124703,1235,100.0,3
400,500,0.8,172083,1261,100.0,3
500,500,1.0,215993,1297,100.0,3
750,500,1.5,320424,1252,100.0,3
10,750,0.013333333333333334,5636,1918,100.0,3
50,750,0.06666666666666667,24143,1883,100.0,3
100,750,0.13333333333333333,41398,1857,100.0,3
200,750,0.26666666666666666,86162,1901,100.0,3
300,750,0.4,131145,1905,100.0,3
400,750,0.5333333333333333,169808,1877,100.0,3
500,750,0.6666666666666666,215774,1853,100.0,3
750,750,1.0,320674,1870,100.0,3
10,1500,0.006666666666666667,6999,3805,100.0,3
50,1500,0.03333333333333333,23155,3748,100.0,3
100,1500,0.06666666666666667,46934,3732,100.0,3
200,1500,0.13333333333333333,89948,3792,100.0,3
300,1500,0.2,128497,3753,100.0,3
400,1500,0.26666666666666666,175517,3816,100.0,3
500,1500,0.3333333333333333,223821,3843,100.0,3
750,1500,0.5,321424,3791,100.0,3
10,2250,0.0044444444444444444,7400,5656,99.75308641975309,3
50,2250,0.022222222222222223,22542,5640,100.0,3
100,2250,0.044444444444444446,47505,5611,100.0,3
200,2250,0.08888888888888889,90541,5676,100.0,3
300,2250,0.13333333333333333,133518,5672,100.0,3
400,2250,0.17777777777777778,168638,5688,100.0,3
500,2250,0.2222222222222222,216952,5693,100.0,3
750,2250,0.3333333333333333,322174,5672,100.0,3
10,3000,0.0033333333333333335,7366,7564,99.8416050686378,3
50,3000,0.016666666666666666,23747,7574,100.0,3
100,3000,0.03333333333333333,45753,7559,100.0,3
200,3000,0.06666666666666667,88718,7551,100.0,3
300,3000,0.1,126298,7540,100.0,3
400,3000,0.13333333333333333,177370,7529,100.0,3
500,3000,0.16666666666666666,214258,7582,100.0,3
750,3000,0.25,322924,7574,100.0,3
10,400,0.025,5885,1014,100.0,4
50,400,0.125,22696,1020,100.0,4
100,400,0.25,44108,1008,100.0,4
200,400,0.5,88984,987,100.0,4
300,400,0.75,129845,1044,100.0,4
400,400,1.0,173937,1008,100.0,4
500,400,1.25,217148,1003,100.0,4
750,400,1.875,320324,987,100.0,4
10,500,0.02,4957,1278,100.0,4
50,500,0.1,22012,1270,100.0,4
100,500,0.2,44643,1268,100.0,4
200,500,0.4,84840,1264,100.0,4
300,500,0.6,130081,1249,100.0,4
400,500,0.8,174674,1256,100.0,4
500,500,1.0,211803,1251,100.0,4
750,500,1.5,320424,1286,100.0,4
10,750,0.013333333333333334,4921,1936,99.48612538540597,4
50,750,0.06666666666666667,21870,1811,100.0,4
100,750,0.13333333333333333,44247,1852,100.0,4
200,750,0.26666666666666666,87728,1923,100.0,4
300,750,0.4,130318,1941,100.0,4
400,750,0.5333333333333333,170731,1928,100.0,4
500,750,0.6666666666666666,214308,1904,100.0,4
750,750,1.0,320674,1902,100.0,4
10,1500,0.006666666666666667,7115,3782,99.44780436497503,4
50,1500,0.03333333333333333,22155,3802,100.0,4
100,1500,0.06666666666666667,45761,3830,100.0,4
200,1500,0.13333333333333333,86751,3768,100.0,4
300,1500,0.2,132224,3698,100.0,4
400,1500,0.26666666666666666,172598,3774,100.0,4
500,1500,0.3333333333333333,213007,3764,100.0,4
750,1500,0.5,321424,3774,100.0,4
10,2250,0.0044444444444444444,7357,5614,100.0,4
50,2250,0.022222222222222223,25560,5661,100.0,4
100,2250,0.044444444444444446,51289,5691,100.0,4
