num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward
10,100,0.1,4824,241,100.0
50,100,0.5,24717,252,100.0
100,100,1.0,46610,261,100.0
200,100,2.0,88990,241,100.0
300,100,3.0,129260,219,100.0
400,100,4.0,172207,268,100.0
500,100,5.0,215651,266,100.0
10,200,0.05,4393,494,100.0
50,200,0.25,22382,481,100.0
100,200,0.5,45785,485,100.0
200,200,1.0,92215,489,100.0
300,200,1.5,131386,506,100.0
400,200,2.0,169888,474,100.0
500,200,2.5,215195,475,100.0
10,300,0.03333333333333333,5372,735,99.86413043478261
50,300,0.16666666666666666,20980,745,100.0
100,300,0.3333333333333333,45062,762,100.0
200,300,0.6666666666666666,89206,736,100.0
300,300,1.0,128071,783,100.0
400,300,1.3333333333333333,175433,746,100.0
500,300,1.6666666666666667,212760,777,100.0
10,400,0.025,4389,1016,100.0
50,400,0.125,21627,1002,100.0
100,400,0.25,45887,1003,100.0
200,400,0.5,87002,1016,100.0
300,400,0.75,122478,960,100.0
400,400,1.0,173162,998,100.0
500,400,1.25,211075,996,100.0
10,500,0.02,4923,1266,100.0
50,500,0.1,23710,1262,100.0
100,500,0.2,46712,1289,100.0
200,500,0.4,87803,1266,100.0
300,500,0.6,129949,1277,100.0
400,500,0.8,168300,1243,100.0
500,500,1.0,206469,1275,100.0
10,750,0.013333333333333334,7541,1840,100.0
50,750,0.06666666666666667,21509,1874,100.0
100,750,0.13333333333333333,45505,1863,100.0
200,750,0.26666666666666666,88747,1848,100.0
300,750,0.4,128925,1893,100.0
400,750,0.5333333333333333,172080,1831,100.0
500,750,0.6666666666666666,218310,1900,100.0
