num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward
10,750,0.013333333333333334,6140,1839,100.0
50,750,0.06666666666666667,22761,1832,100.0
100,750,0.13333333333333333,46057,1853,100.0
200,750,0.26666666666666666,83534,1865,100.0
300,750,0.4,126745,1845,100.0
400,750,0.5333333333333333,173306,1795,100.0
500,750,0.6666666666666666,211891,1866,100.0
750,750,1.0,320674,1815,100.0
10,1500,0.006666666666666667,5979,3738,100.0
50,1500,0.03333333333333333,23619,3734,100.0
100,1500,0.06666666666666667,40483,3756,100.0
200,1500,0.13333333333333333,89841,3696,100.0
300,1500,0.2,134507,3693,100.0
400,1500,0.26666666666666666,171246,3705,100.0
500,1500,0.3333333333333333,214934,3719,100.0
750,1500,0.5,321424,3722,100.0
10,2250,0.0044444444444444444,6771,5538,100.0
50,2250,0.022222222222222223,21929,5531,100.0
100,2250,0.044444444444444446,46547,5504,100.0
200,2250,0.08888888888888889,85561,5559,100.0
300,2250,0.13333333333333333,130279,5558,100.0
400,2250,0.17777777777777778,167712,5542,100.0
500,2250,0.2222222222222222,219715,5561,100.0
750,2250,0.3333333333333333,322174,5546,100.0
10,3000,0.0033333333333333335,7705,7479,100.0
50,3000,0.016666666666666666,24970,7405,100.0
100,3000,0.03333333333333333,49305,7472,100.0
200,3000,0.06666666666666667,91290,7476,100.0
300,3000,0.1,131589,7421,100.0
400,3000,0.13333333333333333,174711,7402,100.0
500,3000,0.16666666666666666,219633,7385,100.0
750,3000,0.25,322924,7422,100.0
10,3750,0.0026666666666666666,10009,9278,100.0
50,3750,0.013333333333333334,25672,9278,100.0
100,3750,0.02666666666666667,45773,9278,100.0
200,3750,0.05333333333333334,87349,9278,100.0
300,3750,0.08,131913,9278,100.0
400,3750,0.10666666666666667,174701,9278,100.0
500,3750,0.13333333333333333,220997,9278,100.0
750,3750,0.2,323674,9278,100.0
